particle,energy_GeV,N_ch,N_sim,Edep_GeV
electron,0.2,0,0,8.7172919921875
electron,0.2,0,1,9.3479970703125
electron,0.2,0,2,8.92705859375
electron,0.2,0,3,8.75936328125
electron,0.2,0,4,8.93299609375
electron,0.2,1,0,8.506796875
electron,0.2,1,1,9.2868115234375
electron,0.2,1,2,9.2832763671875
electron,0.2,1,3,9.334728515625
electron,0.2,1,4,9.233306640625
electron,0.2,2,0,9.226693359375
electron,0.2,2,1,9.225900390625
electron,0.2,2,2,9.121181640625
electron,0.2,2,3,8.964052734375
electron,0.2,2,4,8.9613046875
electron,0.2,6,0,9.1007109375
electron,0.2,6,1,9.1654765625
electron,0.2,6,2,9.15727734375
electron,0.2,6,3,9.2764716796875
electron,0.2,6,4,9.42926953125
electron,0.2,7,0,8.9011796875
electron,0.2,7,1,9.09055859375
electron,0.2,7,2,8.674685546875
electron,0.2,7,3,9.6790859375
electron,0.2,7,4,9.20355859375
electron,0.3,0,0,13.6234697265625
electron,0.3,0,1,12.8600078125
electron,0.3,0,2,13.3158642578125
electron,0.3,0,3,12.983765625
electron,0.3,0,4,13.2222470703125
electron,0.3,1,0,13.462896484375
electron,0.3,1,1,13.5780546875
electron,0.3,1,2,12.998818359375
electron,0.3,1,3,13.164208984375
electron,0.3,1,4,13.06659765625
electron,0.3,2,0,12.9183408203125
electron,0.3,2,1,13.5201806640625
electron,0.3,2,2,13.923421875
electron,0.3,2,3,13.164294921875
electron,0.3,2,4,13.0783310546875
electron,0.3,6,0,13.2727314453125
electron,0.3,6,1,13.1878115234375
electron,0.3,6,2,13.416171875
electron,0.3,6,3,13.130119140625
electron,0.3,6,4,13.205173828125
electron,0.3,7,0,13.3184296875
electron,0.3,7,1,13.0427978515625
electron,0.3,7,2,13.349998046875
electron,0.3,7,3,13.7564423828125
electron,0.3,7,4,13.1035830078125
electron,0.4,0,0,17.2588046875
electron,0.4,0,1,17.59338671875
electron,0.4,0,2,18.340484375
electron,0.4,0,3,17.34678125
electron,0.4,0,4,17.090044921875
electron,0.4,1,0,17.72384375
electron,0.4,1,1,16.93799609375
electron,0.4,1,2,17.864869140625
electron,0.4,1,3,17.510283203125
electron,0.4,1,4,17.46703125
electron,0.4,2,0,17.19669921875
electron,0.4,2,1,17.501166015625
electron,0.4,2,2,17.951771484375
electron,0.4,2,3,17.568796875
electron,0.4,2,4,17.88690625
electron,0.4,6,0,17.54976953125
electron,0.4,6,1,17.249255859375
electron,0.4,6,2,17.394958984375
electron,0.4,6,3,16.536986328125
electron,0.4,6,4,17.405556640625
electron,0.4,7,0,17.315677734375
electron,0.4,7,1,17.401841796875
electron,0.4,7,2,17.1243046875
electron,0.4,7,3,17.135720703125
electron,0.4,7,4,17.611271484375
electron,0.5,0,0,21.990224609375
electron,0.5,0,1,21.37097265625
electron,0.5,0,2,22.034720703125
electron,0.5,0,3,21.36891015625
electron,0.5,0,4,21.5793359375
electron,0.5,1,0,21.337037109375
electron,0.5,1,1,21.75457421875
electron,0.5,1,2,21.22125
electron,0.5,1,3,22.039828125
electron,0.5,1,4,21.7169765625
